timestamp,can_id,speed_kph,rpm,temp_c,accel_x,accel_y,voltage,heartbeat,dtcs
1970-01-08T03:34:34.212,0x7ff,50.0,2296.0,90,0.006,0.002,13.87,3100,NONE
1970-01-08T03:34:35.218,0x7ff,50.0,2294.0,90,0.005,-0.003,13.79,3200,NONE
1970-01-08T03:34:36.224,0x7ff,50.0,2276.0,90,0.009,0.0,13.81,3300,NONE
1970-01-08T03:34:37.230,0x7ff,50.0,2323.0,90,-0.008,0.002,13.83,3400,NONE
1970-01-08T03:34:38.236,0x7ff,50.0,2280.0,90,-0.207,-0.001,13.82,3500,NONE
1970-01-08T03:34:39.241,0x7ff,48.0,2212.0,90,-0.205,0.001,13.86,3600,NONE
1970-01-08T03:34:40.248,0x7ff,46.0,2174.0,90,-0.207,-0.002,13.88,3700,NONE
1970-01-08T03:34:41.253,0x7ff,44.0,2115.0,90,-0.2,0.0,13.82,3800,NONE
1970-01-08T03:34:42.259,0x7ff,42.0,2102.0,90,-0.203,0.001,13.78,3900,NONE
1970-01-08T03:34:43.265,0x7ff,40.0,2002.0,90,-0.198,-0.002,13.84,4000,NONE
1970-01-08T03:34:44.271,0x7ff,38.0,1892.0,90,-0.212,-0.002,13.81,4100,NONE
1970-01-08T03:34:45.277,0x7ff,36.0,1923.0,90,-0.206,0.001,13.78,4200,NONE
1970-01-08T03:34:46.283,0x7ff,34.0,1804.0,90,-0.203,0.0,13.92,4300,NONE
1970-01-08T03:34:47.289,0x7ff,32.0,1800.0,90,-0.197,-0.001,13.85,4400,NONE
1970-01-08T03:34:48.295,0x7ff,30.0,1683.0,90,-0.196,0.002,13.93,4500,NONE
1970-01-08T03:34:49.301,0x7ff,28.0,1686.0,90,-0.206,0.0,13.91,4600,NONE
1970-01-08T03:34:50.307,0x7ff,26.0,1595.0,90,-0.208,0.001,13.84,4700,NONE
1970-01-08T03:34:51.313,0x7ff,24.0,1549.0,90,-0.195,-0.002,13.86,4800,NONE
1970-01-08T03:34:52.319,0x7ff,22.0,1413.0,90,-0.197,-0.004,13.82,4900,NONE
1970-01-08T03:34:53.324,0x7ff,19.9,1409.0,90,-0.512,0.002,13.79,5000,NONE
1970-01-08T03:34:54.330,0x7ff,14.9,1208.0,90,-0.506,-0.001,13.88,5100,NONE
1970-01-08T03:34:55.336,0x7ff,9.9,1133.0,90,-0.513,0.002,13.77,5200,NONE
1970-01-08T03:34:56.342,0x7ff,4.9,924.0,90,-0.511,0.003,13.82,5300,NONE
1970-01-08T03:34:57.348,0x7ff,0.0,849.0,90,-0.512,-0.001,13.87,5400,NONE
1970-01-08T03:34:58.354,0x7ff,0.0,823.0,90,-0.508,-0.005,13.76,5500,NONE
1970-01-08T03:34:59.360,0x7ff,0.0,814.0,90,-0.512,0.002,13.85,5600,NONE
1970-01-08T03:35:00.366,0x7ff,0.0,845.0,90,-0.519,-0.001,13.75,5700,NONE
1970-01-08T03:35:01.372,0x7ff,0.0,778.0,90,-0.513,0.0,12.6,5800,NONE
1970-01-08T03:35:02.378,0x7ff,0.0,819.0,90,-0.516,-0.002,13.79,5900,NONE
1970-01-08T03:35:03.384,0x7ff,0.0,756.0,90,0.267,0.002,12.6,6000,NONE
